Vehicle
Number          Capacity
10              100

Customer
Cus No.         XCOORD.         YCOORD.         Volume          ExecTime

0               29              88              59              46
1               78              57              30              80
2               34              74              69              42
3               27              40              25              107
4               86              92              63              59
5               99              38              55              76
6               7               65              76              53
7               16              22              31              57
8               18              72              11              113
9               79              19              3               35
10              11              96              54              79
11              98              61              61              78
12              35              98              16              84
13              18              70              70              87
14              20              54              22              38
15              10              62              46              113
16              35              29              41              79
17              10              32              94              77
18              99              98              22              49
19              81              78              10              115
20              92              48              93              40
21              8               17              71              41
22              61              21              87              59
23              12              54              99              44
24              26              51              61              60
25              80              2               67              85
26              39              86              19              116
27              24              43              8               113
28              19              51              57              65
29              47              29              63              111
30              69              76              41              33
31              62              10              79              61
32              98              33              6               58
33              39              26              31              118
34              1               1               70              113
35              56              92              34              106
36              74              23              54              98
37              65              79              22              56
38              48              25              41              86
39              81              94              57              21
40              27              77              41              104
