Vehicle
Number          Capacity
10              150

Customer
Cus No.         XCOORD.         YCOORD.         Volume          ExecTime

0               99              76              51              129
1               55              79              51              167
2               27              50              43              183
3               81              43              32              155
4               98              84              35              55
5               65              31              79              90
6               41              59              83              72
7               39              41              103             180
8               96              76              136             43
9               39              18              86              93
10              54              12              11              69
11              56              8               48              50
12              54              93              8               70
13              46              78              5               177
14              84              75              55              141
15              13              72              56              40
16              24              47              104             91
17              35              8               29              158
18              45              35              108             127
19              78              38              63              32
20              84              60              43              157
21              47              29              98              129
22              55              71              87              143
23              88              16              128             87
24              91              25              35              67
25              31              78              133             87
26              46              11              11              78
27              21              10              145             153
28              93              94              97              147
29              16              4               130             32
30              16              28              56              146
31              46              26              21              104
32              5               85              148             177
33              99              36              72              68
34              68              3               126             38
35              71              89              29              73
36              22              3               103             45
37              49              39              112             158
38              93              58              61              140
39              49              10              146             59
40              34              73              103             121
41              59              14              114             115
42              83              77              149             106
43              98              52              32              90
44              6               99              62              98
45              23              26              64              131
46              44              44              91              140
47              43              56              85              194
48              18              99              65              159
49              80              63              112             42
50              36              35              131             192
