Number          Capacity
10              50

Customer
Cus No.         XCOORD.         YCOORD.         Volume          ExecTime

0               95              61              18              38
1               66              40              49              78
2               82              96              38              24
3               97              2               3               91
4               20              26              49              59
5               6               92              48              60
6               6               99              19              80
7               60              10              19              104
8               57              61              9               71
9               27              18              34              22
10              99              73              8               76
11              70              81              39              77
12              66              84              6               110
13              82              28              49              65
14              51              6               13              27
15              88              16              40              90
16              36              46              28              46
17              87              86              6               93
18              26              73              19              63
19              39              47              33              67
20              73              34              26              80
