Vehicle
Number          Capacity
10              80

Customer
Cus No.         XCOORD.         YCOORD.         Volume          ExecTime

0               68              59              77              72
1               71              36              38              66
2               95              88              18              91
3               57              65              47              110
4               32              7               14              65
5               59              75              33              78
6               13              70              54              76
7               25              73              35              96
8               44              15              18              56
9               43              19              79              65
10              95              42              79              82
11              14              30              52              88
12              3               92              31              73
13              81              84              21              105
14              82              15              20              120
15              74              37              39              101
16              93              7               73              24
17              97              95              39              26
18              42              7               41              32
19              76              19              2               116
20              71              86              37              57
21              70              18              11              68
22              90              38              50              39
23              67              85              8               50
24              78              1               25              22
25              61              45              37              74
26              61              95              54              82
27              42              56              16              89
28              52              73              57              54
29              24              2               11              96
30              60              21              24              44
