Vehicle
Number          Capacity
10              100

Customer
Cus No.         XCOORD.         YCOORD.         Volume          ExecTime

0               97              68              15              90
1               79              75              1               68
2               39              18              35              42
3               19              47              17              66
4               70              1               61              89
5               33              76              55              118
6               47              9               70              106
7               79              60              33              32
8               15              17              65              88
9               74              20              42              102
10              87              45              72              97
11              25              34              56              46
12              35              58              51              40
13              61              46              86              39
14              86              85              46              106
15              55              89              22              45
16              76              88              63              99
17              50              97              80              63
18              40              64              74              39
19              2               71              29              49
20              58              70              47              81
21              69              91              69              97
22              35              54              20              51
23              14              44              13              43
24              68              75              53              24
25              41              50              94              77
26              90              92              86              22
27              68              90              33              106
28              61              32              56              79
29              85              89              40              39
30              68              48              48              104
31              50              33              75              92
32              79              8               66              80
33              36              82              77              45
34              61              13              43              42
35              61              75              7               115
36              63              78              40              40
37              54              30              8               82
38              27              70              77              53
39              73              52              48              91
40              61              88              95              71
