Vehicle
Number          Capacity
10              150

Customer
Cus No.         XCOORD.         YCOORD.         Volume          ExecTime

0               48              20              101             147
1               69              28              96              109
2               63              77              90              81
3               1               23              37              34
4               46              31              26              94
5               24              37              112             162
6               51              51              81              137
7               27              51              129             185
8               71              30              117             122
9               74              95              32              131
10              95              90              89              141
11              93              57              8               54
12              43              2               13              69
13              38              51              33              195
14              42              35              23              95
15              69              21              150             77
16              88              53              142             93
17              42              38              41              129
18              80              98              94              158
19              82              25              38              76
20              10              44              25              112
21              50              44              7               169
22              86              62              78              171
23              24              84              138             129
24              43              47              48              159
25              22              39              20              130
26              69              2               20              180
27              100             81              94              112
28              63              19              86              138
29              74              3               122             188
30              90              25              143             90
31              39              20              108             140
32              64              22              81              159
33              88              91              139             168
34              98              54              49              37
35              79              58              116             198
36              6               84              77              144
37              20              22              100             88
38              82              4               57              171
39              100             72              7               66
40              27              39              45              34
41              53              86              9               113
42              51              94              42              196
43              51              52              31              124
44              23              43              24              58
45              66              95              124             178
46              38              62              34              67
47              18              93              112             126
48              24              82              65              85
49              25              55              116             116
50              60              46              130             92
